,SYMBOL,COMPANY NAME
0,RELIANCE.NS,Reliance Industries Limited
1,TCS.NS,Tata Consultancy Services Limited
2,HDFCBANK.NS,HDFC Bank Limited
3,BHARTIARTL.NS,Bharti Airtel Limited
4,ICICIBANK.NS,ICICI Bank Limited
5,INFY.NS,Infosys Limited
6,SBIN.NS,State Bank of India
7,ITC.NS,ITC Limited
8,HINDUNILVR.NS,Hindustan Unilever Limited
9,LICI.NS,Life Insurance Corporation Of India
10,HCLTECH.NS,HCL Technologies Limited
11,LT.NS,Larsen & Toubro Limited
12,SUNPHARMA.NS,Sun Pharmaceutical Industries Limited
13,BAJFINANCE.NS,Bajaj Finance Limited
14,NTPC.NS,NTPC Limited
15,AXISBANK.NS,Axis Bank Limited
16,MARUTI.NS,Maruti Suzuki India Limited
17,TATAMOTORS.NS,Tata Motors Limited
18,KOTAKBANK.NS,Kotak Mahindra Bank Limited
19,ADANIENT.NS,Adani Enterprises Limited
21,ONGC.NS,Oil & Natural Gas Corporation Limited
22,M&M.NS,Mahindra & Mahindra Limited
23,ULTRACEMCO.NS,UltraTech Cement Limited
24,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited
25,POWERGRID.NS,Power Grid Corporation of India Limited
26,WIPRO.NS,Wipro Limited
27,TITAN.NS,Titan Company Limited
28,ASIANPAINT.NS,Asian Paints Limited
29,HAL.NS,Hindustan Aeronautics Limited
30,BAJAJFINSV.NS,Bajaj Finserv Limited
31,BAJAJ-AUTO.NS,Bajaj Auto Limited
32,COALINDIA.NS,Coal India Limited
33,ADANIGREEN.NS,Adani Green Energy Limited
34,TRENT.NS,Trent Limited
35,DMART.NS,Avenue Supermarts Limited
36,SIEMENS.NS,Siemens Limited
37,HINDZINC.NS,Hindustan Zinc Limited
38,JSWSTEEL.NS,JSW Steel Limited
39,ADANIPOWER.NS,Adani Power Limited
40,NESTLEIND.NS,Nestle India Limited
41,ZOMATO.NS,Zomato Limited
42,BEL.NS,Bharat Electronics Limited
43,DLF.NS,DLF Limited
44,IRFC.NS,Indian Railway Finance Corporation Limited
45,JIOFIN.NS,Jio Financial Services Limited
46,IOC.NS,Indian Oil Corporation Limited
47,VBL.NS,Varun Beverages Limited
48,TATASTEEL.NS,Tata Steel Limited
49,VEDL.NS,Vedanta Limited
50,GRASIM.NS,Grasim Industries Limited
51,LTIM.NS,LTIMindtree Limited
52,SBILIFE.NS,SBI Life Insurance Company Limited
53,PIDILITIND.NS,Pidilite Industries Limited
54,ABB.NS,ABB India Limited
56,INDIGO.NS,InterGlobe Aviation Limited
57,HDFCLIFE.NS,HDFC Life Insurance Company Limited
58,DIVISLAB.NS,Divi's Laboratories Limited
59,HINDALCO.NS,Hindalco Industries Limited
60,PFC.NS,Power Finance Corporation Limited
61,TECHM.NS,Tech Mahindra Limited
62,HYUNDAI.NS,Hyundai Motor India Limited
63,AMBUJACEM.NS,Ambuja Cements Limited
64,RECLTD.NS,REC Limited
65,BRITANNIA.NS,Britannia Industries Limited
66,TATAPOWER.NS,Tata Power Company Limited
67,BPCL.NS,Bharat Petroleum Corporation Limited
68,GAIL.NS,GAIL (India) Limited
69,EICHERMOT.NS,Eicher Motors Limited
70,GODREJCP.NS,Godrej Consumer Products Limited
71,MOTHERSON.NS,Samvardhana Motherson International Limited
72,BANKBARODA.NS,Bank of Baroda
73,SHRIRAMFIN.NS,Shriram Finance Limited
74,JSWENERGY.NS,JSW Energy Limited
75,LODHA.NS,Macrotech Developers Limited
76,TVSMOTOR.NS,TVS Motor Company Limited
77,PNB.NS,Punjab National Bank
78,CIPLA.NS,Cipla Limited
79,BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited
80,ADANIENSOL.NS,Adani Energy Solutions Limited
81,BAJAJHFL.NS,Bajaj Housing Finance Limited
82,CGPOWER.NS,CG Power and Industrial Solutions Limited
83,ICICIPRULI.NS,ICICI Prudential Life Insurance Company Limited
84,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited
85,BOSCHLTD.NS,Bosch Limited
86,TORNTPHARM.NS,Torrent Pharmaceuticals Limited
87,MANKIND.NS,Mankind Pharma Limited
88,UNITDSPR.NS,United Spirits Limited
89,HAVELLS.NS,Havells India Limited
90,DRREDDY.NS,Dr. Reddy's Laboratories Limited
91,IOB.NS,Indian Overseas Bank
92,TATACONSUM.NS,TATA CONSUMER PRODUCTS LIMITED
